country code,state code,postcodes,cities,rate,tax name,priority,compound,shipping,tax class
AT,,,,20.0000,VAT,1,,,Standard
BE,,,,21.0000,VAT,1,,,Standard
BG,,,,20.0000,VAT,1,,,Standard
HR,,,,25.0000,VAT,1,,,Standard
CY,,,,19.0000,VAT,1,,,Standard
CZ,,,,21.0000,VAT,1,,,Standard
DK,,,,25.0000,VAT,1,,,Standard
EE,,,,20.0000,VAT,1,,,Standard
FI,,,,24.0000,VAT,1,,,Standard
FR,,,,20.0000,VAT,1,,,Standard
DE,,,,19.0000,VAT,1,,,Standard
GR,,,,24.0000,VAT,1,,,Standard
HU,,,,27.0000,VAT,1,,,Standard
IE,,,,23.0000,VAT,1,,,Standard
IT,,,,22.0000,VAT,1,,,Standard
LV,,,,21.0000,VAT,1,,,Standard
LT,,,,21.0000,VAT,1,,,Standard
LU,,,,17.0000,VAT,1,,,Standard
MT,,,,18.0000,VAT,1,,,Standard
MC,,,,20.0000,VAT,1,,,Standard
NL,,,,21.0000,VAT,1,,,Standard
PL,,,,23.0000,VAT,1,,,Standard
PT,,,,23.0000,VAT,1,,,Standard
RO,,,,19.0000,VAT,1,,,Standard
SK,,,,20.0000,VAT,1,,,Standard
SI,,,,22.0000,VAT,1,,,Standard
ES,,,,22.0000,VAT,1,,,Standard
SE,,,,25.0000,VAT,1,,,Standard
UK,,,,20.0000,VAT,1,,,Standard
